board,algorithm,impl,operation,payload_bytes,ad_bytes,iteration,cycles
esp32,Ascon128a,opt64,encrypt,32768,0,0,3093845
esp32,Ascon128a,opt64,decrypt,32768,0,0,3118497
esp32,Ascon128a,opt64,encrypt,32768,0,1,3151975
esp32,Ascon128a,opt64,decrypt,32768,0,1,3134694
esp32,Ascon128a,opt64,encrypt,32768,0,2,3151313
esp32,Ascon128a,opt64,decrypt,32768,0,2,3134688
esp32,Ascon128a,opt64,encrypt,32768,0,3,3151074
esp32,Ascon128a,opt64,decrypt,32768,0,3,3134693
esp32,Ascon128a,opt64,encrypt,32768,0,4,3151314
esp32,Ascon128a,opt64,decrypt,32768,0,4,3134979
esp32,Ascon128a,opt64,encrypt,32768,0,5,3151073
esp32,Ascon128a,opt64,decrypt,32768,0,5,3134694
esp32,Ascon128a,opt64,encrypt,32768,0,6,3151322
esp32,Ascon128a,opt64,decrypt,32768,0,6,3134989
esp32,Ascon128a,opt64,encrypt,32768,0,7,3151073
esp32,Ascon128a,opt64,decrypt,32768,0,7,3134695
esp32,Ascon128a,opt64,encrypt,32768,0,8,3151299
esp32,Ascon128a,opt64,decrypt,32768,0,8,3134991
esp32,Ascon128a,opt64,encrypt,32768,0,9,3151084
esp32,Ascon128a,opt64,decrypt,32768,0,9,3134693
esp32,Ascon128a,opt64,encrypt,32768,0,10,3151312
esp32,Ascon128a,opt64,decrypt,32768,0,10,3134818
esp32,Ascon128a,opt64,encrypt,32768,0,11,3151073
esp32,Ascon128a,opt64,decrypt,32768,0,11,3134695
esp32,Ascon128a,opt64,encrypt,32768,0,12,3151322
esp32,Ascon128a,opt64,decrypt,32768,0,12,3134796
esp32,Ascon128a,opt64,encrypt,32768,0,13,3151075
esp32,Ascon128a,opt64,decrypt,32768,0,13,3134694
esp32,Ascon128a,opt64,encrypt,32768,0,14,3151603
esp32,Ascon128a,opt64,decrypt,32768,0,14,3134689
esp32,Ascon128a,opt64,encrypt,32768,0,15,3151084
esp32,Ascon128a,opt64,decrypt,32768,0,15,3134693
esp32,Ascon128a,opt64,encrypt,32768,0,16,3151602
esp32,Ascon128a,opt64,decrypt,32768,0,16,3134699
esp32,Ascon128a,opt64,encrypt,32768,0,17,3151084
esp32,Ascon128a,opt64,decrypt,32768,0,17,3134695
esp32,Ascon128a,opt64,encrypt,32768,0,18,3151613
esp32,Ascon128a,opt64,decrypt,32768,0,18,3134689
esp32,Ascon128a,opt64,encrypt,32768,0,19,3151074
esp32,Ascon128a,opt64,decrypt,32768,0,19,3134693
esp32,Ascon128a,opt64,encrypt,32768,0,20,3151595
esp32,Ascon128a,opt64,decrypt,32768,0,20,3134689
esp32,Ascon128a,opt64,encrypt,32768,0,21,3151083
esp32,Ascon128a,opt64,decrypt,32768,0,21,3134705
esp32,Ascon128a,opt64,encrypt,32768,0,22,3151313
esp32,Ascon128a,opt64,decrypt,32768,0,22,3134688
esp32,Ascon128a,opt64,encrypt,32768,0,23,3151085
esp32,Ascon128a,opt64,decrypt,32768,0,23,3134984
esp32,Ascon128a,opt64,encrypt,32768,0,24,3151324
esp32,Ascon128a,opt64,decrypt,32768,0,24,3134689
esp32,Ascon128a,opt64,encrypt,32768,0,25,3151074
esp32,Ascon128a,opt64,decrypt,32768,0,25,3134983
esp32,Ascon128a,opt64,encrypt,32768,0,26,3151313
esp32,Ascon128a,opt64,decrypt,32768,0,26,3134688
esp32,Ascon128a,opt64,encrypt,32768,0,27,3151035
esp32,Ascon128a,opt64,decrypt,32768,0,27,3134984
esp32,Ascon128a,opt64,encrypt,32768,0,28,3151314
esp32,Ascon128a,opt64,decrypt,32768,0,28,3134689
esp32,Ascon128a,opt64,encrypt,32768,0,29,3151073
esp32,Ascon128a,opt64,decrypt,32768,0,29,3134901
esp32,Ascon128a,opt64,encrypt,32768,0,30,3151313
esp32,Ascon128a,opt64,decrypt,32768,0,30,3134688
esp32,Ascon128a,opt64,encrypt,32768,0,31,3151084
esp32,Ascon128a,opt64,decrypt,32768,0,31,3134786
esp32,Ascon128,opt64,encrypt,32768,0,0,4438586
esp32,Ascon128,opt64,decrypt,32768,0,0,4490199
esp32,Ascon128,opt64,encrypt,32768,0,1,4493389
esp32,Ascon128,opt64,decrypt,32768,0,1,4499681
esp32,Ascon128,opt64,encrypt,32768,0,2,4493918
esp32,Ascon128,opt64,decrypt,32768,0,2,4499671
esp32,Ascon128,opt64,encrypt,32768,0,3,4493689
esp32,Ascon128,opt64,decrypt,32768,0,3,4499568
esp32,Ascon128,opt64,encrypt,32768,0,4,4493928
esp32,Ascon128,opt64,decrypt,32768,0,4,4499670
esp32,Ascon128,opt64,encrypt,32768,0,5,4493678
esp32,Ascon128,opt64,decrypt,32768,0,5,4499673
esp32,Ascon128,opt64,encrypt,32768,0,6,4493918
esp32,Ascon128,opt64,decrypt,32768,0,6,4499702
esp32,Ascon128,opt64,encrypt,32768,0,7,4493679
esp32,Ascon128,opt64,decrypt,32768,0,7,4499673
esp32,Ascon128,opt64,encrypt,32768,0,8,4493919
esp32,Ascon128,opt64,decrypt,32768,0,8,4499669
esp32,Ascon128,opt64,encrypt,32768,0,9,4493680
esp32,Ascon128,opt64,decrypt,32768,0,9,4499673
esp32,Ascon128,opt64,encrypt,32768,0,10,4493919
esp32,Ascon128,opt64,decrypt,32768,0,10,4499692
esp32,Ascon128,opt64,encrypt,32768,0,11,4493679
esp32,Ascon128,opt64,decrypt,32768,0,11,4499672
esp32,Ascon128,opt64,encrypt,32768,0,12,4493918
esp32,Ascon128,opt64,decrypt,32768,0,12,4499670
esp32,Ascon128,opt64,encrypt,32768,0,13,4493670
esp32,Ascon128,opt64,decrypt,32768,0,13,4499672
esp32,Ascon128,opt64,encrypt,32768,0,14,4493808
esp32,Ascon128,opt64,decrypt,32768,0,14,4499670
esp32,Ascon128,opt64,encrypt,32768,0,15,4493389
esp32,Ascon128,opt64,decrypt,32768,0,15,4499962
esp32,Ascon128,opt64,encrypt,32768,0,16,4493638
esp32,Ascon128,opt64,decrypt,32768,0,16,4499960
esp32,Ascon128,opt64,encrypt,32768,0,17,4493360
esp32,Ascon128,opt64,decrypt,32768,0,17,4499961
esp32,Ascon128,opt64,encrypt,32768,0,18,4493628
esp32,Ascon128,opt64,decrypt,32768,0,18,4499960
esp32,Ascon128,opt64,encrypt,32768,0,19,4493389
esp32,Ascon128,opt64,decrypt,32768,0,19,4499963
esp32,Ascon128,opt64,encrypt,32768,0,20,4493628
esp32,Ascon128,opt64,decrypt,32768,0,20,4499960
esp32,Ascon128,opt64,encrypt,32768,0,21,4493389
esp32,Ascon128,opt64,decrypt,32768,0,21,4499963
esp32,Ascon128,opt64,encrypt,32768,0,22,4493628
esp32,Ascon128,opt64,decrypt,32768,0,22,4499960
esp32,Ascon128,opt64,encrypt,32768,0,23,4493389
esp32,Ascon128,opt64,decrypt,32768,0,23,4499962
esp32,Ascon128,opt64,encrypt,32768,0,24,4493638
esp32,Ascon128,opt64,decrypt,32768,0,24,4499960
esp32,Ascon128,opt64,encrypt,32768,0,25,4493400
esp32,Ascon128,opt64,decrypt,32768,0,25,4499961
esp32,Ascon128,opt64,encrypt,32768,0,26,4493628
esp32,Ascon128,opt64,decrypt,32768,0,26,4499960
esp32,Ascon128,opt64,encrypt,32768,0,27,4493389
esp32,Ascon128,opt64,decrypt,32768,0,27,4499962
esp32,Ascon128,opt64,encrypt,32768,0,28,4493628
esp32,Ascon128,opt64,decrypt,32768,0,28,4499828
esp32,Ascon128,opt64,encrypt,32768,0,29,4493679
esp32,Ascon128,opt64,decrypt,32768,0,29,4499672
esp32,Ascon128,opt64,encrypt,32768,0,30,4493929
esp32,Ascon128,opt64,decrypt,32768,0,30,4499670
esp32,Ascon128,opt64,encrypt,32768,0,31,4493678
esp32,Ascon128,opt64,decrypt,32768,0,31,4499574
