board,algorithm,impl,operation,payload_bytes,ad_bytes,iteration,cycles
esp32c3,Ascon128a,opt64,encrypt,32768,0,0,2544772
esp32c3,Ascon128a,opt64,decrypt,32768,0,0,2577683
esp32c3,Ascon128a,opt64,encrypt,32768,0,1,2567368
esp32c3,Ascon128a,opt64,decrypt,32768,0,1,2577730
esp32c3,Ascon128a,opt64,encrypt,32768,0,2,2567322
esp32c3,Ascon128a,opt64,decrypt,32768,0,2,2577729
esp32c3,Ascon128a,opt64,encrypt,32768,0,3,2567369
esp32c3,Ascon128a,opt64,decrypt,32768,0,3,2577729
esp32c3,Ascon128a,opt64,encrypt,32768,0,4,2567123
esp32c3,Ascon128a,opt64,decrypt,32768,0,4,2577959
esp32c3,Ascon128a,opt64,encrypt,32768,0,5,2567123
esp32c3,Ascon128a,opt64,decrypt,32768,0,5,2577975
esp32c3,Ascon128a,opt64,encrypt,32768,0,6,2567115
esp32c3,Ascon128a,opt64,decrypt,32768,0,6,2577975
esp32c3,Ascon128a,opt64,encrypt,32768,0,7,2567123
esp32c3,Ascon128a,opt64,decrypt,32768,0,7,2577975
esp32c3,Ascon128a,opt64,encrypt,32768,0,8,2567123
esp32c3,Ascon128a,opt64,decrypt,32768,0,8,2577975
esp32c3,Ascon128a,opt64,encrypt,32768,0,9,2567123
esp32c3,Ascon128a,opt64,decrypt,32768,0,9,2577730
esp32c3,Ascon128a,opt64,encrypt,32768,0,10,2567122
esp32c3,Ascon128a,opt64,decrypt,32768,0,10,2577729
esp32c3,Ascon128a,opt64,encrypt,32768,0,11,2567368
esp32c3,Ascon128a,opt64,decrypt,32768,0,11,2577683
esp32c3,Ascon128a,opt64,encrypt,32768,0,12,2567369
esp32c3,Ascon128a,opt64,decrypt,32768,0,12,2577729
esp32c3,Ascon128a,opt64,encrypt,32768,0,13,2567368
esp32c3,Ascon128a,opt64,decrypt,32768,0,13,2577676
esp32c3,Ascon128a,opt64,encrypt,32768,0,14,2567368
esp32c3,Ascon128a,opt64,decrypt,32768,0,14,2577729
esp32c3,Ascon128a,opt64,encrypt,32768,0,15,2567123
esp32c3,Ascon128a,opt64,decrypt,32768,0,15,2577928
esp32c3,Ascon128a,opt64,encrypt,32768,0,16,2567122
esp32c3,Ascon128a,opt64,decrypt,32768,0,16,2577975
esp32c3,Ascon128a,opt64,encrypt,32768,0,17,2567068
esp32c3,Ascon128a,opt64,decrypt,32768,0,17,2577976
esp32c3,Ascon128a,opt64,encrypt,32768,0,18,2567122
esp32c3,Ascon128a,opt64,decrypt,32768,0,18,2577976
esp32c3,Ascon128a,opt64,encrypt,32768,0,19,2567100
esp32c3,Ascon128a,opt64,decrypt,32768,0,19,2577929
esp32c3,Ascon128a,opt64,encrypt,32768,0,20,2567123
esp32c3,Ascon128a,opt64,decrypt,32768,0,20,2577729
esp32c3,Ascon128a,opt64,encrypt,32768,0,21,2567352
esp32c3,Ascon128a,opt64,decrypt,32768,0,21,2577706
esp32c3,Ascon128a,opt64,encrypt,32768,0,22,2567369
esp32c3,Ascon128a,opt64,decrypt,32768,0,22,2577730
esp32c3,Ascon128a,opt64,encrypt,32768,0,23,2567321
esp32c3,Ascon128a,opt64,decrypt,32768,0,23,2577729
esp32c3,Ascon128a,opt64,encrypt,32768,0,24,2567368
esp32c3,Ascon128a,opt64,decrypt,32768,0,24,2577730
esp32c3,Ascon128a,opt64,encrypt,32768,0,25,2567360
esp32c3,Ascon128a,opt64,decrypt,32768,0,25,2577730
esp32c3,Ascon128a,opt64,encrypt,32768,0,26,2567123
esp32c3,Ascon128a,opt64,decrypt,32768,0,26,2577975
esp32c3,Ascon128a,opt64,encrypt,32768,0,27,2567123
esp32c3,Ascon128a,opt64,decrypt,32768,0,27,2577975
esp32c3,Ascon128a,opt64,encrypt,32768,0,28,2567123
esp32c3,Ascon128a,opt64,decrypt,32768,0,28,2577921
esp32c3,Ascon128a,opt64,encrypt,32768,0,29,2567122
esp32c3,Ascon128a,opt64,decrypt,32768,0,29,2577975
esp32c3,Ascon128a,opt64,encrypt,32768,0,30,2567123
esp32c3,Ascon128a,opt64,decrypt,32768,0,30,2577729
esp32c3,Ascon128a,opt64,encrypt,32768,0,31,2567122
esp32c3,Ascon128a,opt64,decrypt,32768,0,31,2577729
esp32c3,Ascon128,opt64,encrypt,32768,0,0,3539762
esp32c3,Ascon128,opt64,decrypt,32768,0,0,3561107
esp32c3,Ascon128,opt64,encrypt,32768,0,1,3571055
esp32c3,Ascon128,opt64,decrypt,32768,0,1,3560934
esp32c3,Ascon128,opt64,encrypt,32768,0,2,3571056
esp32c3,Ascon128,opt64,decrypt,32768,0,2,3561106
esp32c3,Ascon128,opt64,encrypt,32768,0,3,3571055
esp32c3,Ascon128,opt64,decrypt,32768,0,3,3560895
esp32c3,Ascon128,opt64,encrypt,32768,0,4,3571056
esp32c3,Ascon128,opt64,decrypt,32768,0,4,3561106
esp32c3,Ascon128,opt64,encrypt,32768,0,5,3571054
esp32c3,Ascon128,opt64,decrypt,32768,0,5,3560934
esp32c3,Ascon128,opt64,encrypt,32768,0,6,3571056
esp32c3,Ascon128,opt64,decrypt,32768,0,6,3561106
esp32c3,Ascon128,opt64,encrypt,32768,0,7,3570809
esp32c3,Ascon128,opt64,decrypt,32768,0,7,3560935
esp32c3,Ascon128,opt64,encrypt,32768,0,8,3571009
esp32c3,Ascon128,opt64,decrypt,32768,0,8,3561105
esp32c3,Ascon128,opt64,encrypt,32768,0,9,3571055
esp32c3,Ascon128,opt64,decrypt,32768,0,9,3560927
esp32c3,Ascon128,opt64,encrypt,32768,0,10,3571056
esp32c3,Ascon128,opt64,decrypt,32768,0,10,3561106
esp32c3,Ascon128,opt64,encrypt,32768,0,11,3571055
esp32c3,Ascon128,opt64,decrypt,32768,0,11,3560935
esp32c3,Ascon128,opt64,encrypt,32768,0,12,3571056
esp32c3,Ascon128,opt64,decrypt,32768,0,12,3561106
esp32c3,Ascon128,opt64,encrypt,32768,0,13,3571055
esp32c3,Ascon128,opt64,decrypt,32768,0,13,3560934
esp32c3,Ascon128,opt64,encrypt,32768,0,14,3571056
esp32c3,Ascon128,opt64,decrypt,32768,0,14,3561059
esp32c3,Ascon128,opt64,encrypt,32768,0,15,3570809
esp32c3,Ascon128,opt64,decrypt,32768,0,15,3560910
esp32c3,Ascon128,opt64,encrypt,32768,0,16,3571056
esp32c3,Ascon128,opt64,decrypt,32768,0,16,3561106
esp32c3,Ascon128,opt64,encrypt,32768,0,17,3571055
esp32c3,Ascon128,opt64,decrypt,32768,0,17,3560888
esp32c3,Ascon128,opt64,encrypt,32768,0,18,3571056
esp32c3,Ascon128,opt64,decrypt,32768,0,18,3561106
esp32c3,Ascon128,opt64,encrypt,32768,0,19,3571055
esp32c3,Ascon128,opt64,decrypt,32768,0,19,3560935
esp32c3,Ascon128,opt64,encrypt,32768,0,20,3571057
esp32c3,Ascon128,opt64,decrypt,32768,0,20,3561106
esp32c3,Ascon128,opt64,encrypt,32768,0,21,3571008
esp32c3,Ascon128,opt64,decrypt,32768,0,21,3560934
esp32c3,Ascon128,opt64,encrypt,32768,0,22,3571056
esp32c3,Ascon128,opt64,decrypt,32768,0,22,3560860
esp32c3,Ascon128,opt64,encrypt,32768,0,23,3570809
esp32c3,Ascon128,opt64,decrypt,32768,0,23,3560934
esp32c3,Ascon128,opt64,encrypt,32768,0,24,3571056
esp32c3,Ascon128,opt64,decrypt,32768,0,24,3561106
esp32c3,Ascon128,opt64,encrypt,32768,0,25,3571055
esp32c3,Ascon128,opt64,decrypt,32768,0,25,3560934
esp32c3,Ascon128,opt64,encrypt,32768,0,26,3571057
esp32c3,Ascon128,opt64,decrypt,32768,0,26,3561106
esp32c3,Ascon128,opt64,encrypt,32768,0,27,3571054
esp32c3,Ascon128,opt64,decrypt,32768,0,27,3560935
esp32c3,Ascon128,opt64,encrypt,32768,0,28,3571056
esp32c3,Ascon128,opt64,decrypt,32768,0,28,3561106
esp32c3,Ascon128,opt64,encrypt,32768,0,29,3571054
esp32c3,Ascon128,opt64,decrypt,32768,0,29,3560934
esp32c3,Ascon128,opt64,encrypt,32768,0,30,3571056
esp32c3,Ascon128,opt64,decrypt,32768,0,30,3560861
esp32c3,Ascon128,opt64,encrypt,32768,0,31,3570809
esp32c3,Ascon128,opt64,decrypt,32768,0,31,3560896
