stack,board,algorithm,impl,operation,payload_bytes,stack_free_bytes
stack,esp32,AES128GCM,sw,encrypt,16,14180
stack,esp32,AES128GCM,sw,decrypt,16,14084
stack,esp32,AES128GCM,sw,encrypt,32,14084
stack,esp32,AES128GCM,sw,decrypt,32,14084
stack,esp32,AES128GCM,sw,encrypt,64,14084
stack,esp32,AES128GCM,sw,decrypt,64,14084
stack,esp32,AES128GCM,sw,encrypt,128,14084
stack,esp32,AES128GCM,sw,decrypt,128,14084
stack,esp32,AES128GCM,sw,encrypt,256,14084
stack,esp32,AES128GCM,sw,decrypt,256,14084
stack,esp32,AES128GCM,sw,encrypt,1024,14084
stack,esp32,AES128GCM,sw,decrypt,1024,14084
stack,esp32,AES128GCM,sw,encrypt,4096,14020
stack,esp32,AES128GCM,sw,decrypt,4096,14020
stack,esp32,AsconAEAD128,opt32,encrypt,16,14580
stack,esp32,AsconAEAD128,opt32,decrypt,16,14436
stack,esp32,AsconAEAD128,opt32,encrypt,32,14420
stack,esp32,AsconAEAD128,opt32,decrypt,32,14420
stack,esp32,AsconAEAD128,opt32,encrypt,64,14420
stack,esp32,AsconAEAD128,opt32,decrypt,64,14420
stack,esp32,AsconAEAD128,opt32,encrypt,128,14420
stack,esp32,AsconAEAD128,opt32,decrypt,128,14420
stack,esp32,AsconAEAD128,opt32,encrypt,256,14420
stack,esp32,AsconAEAD128,opt32,decrypt,256,14420
stack,esp32,AsconAEAD128,opt32,encrypt,1024,14420
stack,esp32,AsconAEAD128,opt32,decrypt,1024,14420
stack,esp32,AsconAEAD128,opt32,encrypt,4096,14420
stack,esp32,AsconAEAD128,opt32,decrypt,4096,14420
stack,esp32,Ascon128a,opt32,encrypt,16,14580
stack,esp32,Ascon128a,opt32,decrypt,16,14420
stack,esp32,Ascon128a,opt32,encrypt,32,14420
stack,esp32,Ascon128a,opt32,decrypt,32,14420
stack,esp32,Ascon128a,opt32,encrypt,64,14420
stack,esp32,Ascon128a,opt32,decrypt,64,14420
stack,esp32,Ascon128a,opt32,encrypt,128,14420
stack,esp32,Ascon128a,opt32,decrypt,128,14420
stack,esp32,Ascon128a,opt32,encrypt,256,14420
stack,esp32,Ascon128a,opt32,decrypt,256,14420
stack,esp32,Ascon128a,opt32,encrypt,1024,14420
stack,esp32,Ascon128a,opt32,decrypt,1024,14420
stack,esp32,Ascon128a,opt32,encrypt,4096,14420
stack,esp32,Ascon128a,opt32,decrypt,4096,14420
stack,esp32,Ascon128,opt32,encrypt,16,14580
stack,esp32,Ascon128,opt32,decrypt,16,14580
stack,esp32,Ascon128,opt32,encrypt,32,14484
stack,esp32,Ascon128,opt32,decrypt,32,14484
stack,esp32,Ascon128,opt32,encrypt,64,14484
stack,esp32,Ascon128,opt32,decrypt,64,14484
stack,esp32,Ascon128,opt32,encrypt,128,14484
stack,esp32,Ascon128,opt32,decrypt,128,14484
stack,esp32,Ascon128,opt32,encrypt,256,14484
stack,esp32,Ascon128,opt32,decrypt,256,14484
stack,esp32,Ascon128,opt32,encrypt,1024,14420
stack,esp32,Ascon128,opt32,decrypt,1024,14420
stack,esp32,Ascon128,opt32,encrypt,4096,14420
stack,esp32,Ascon128,opt32,decrypt,4096,14420
stack,esp32,MLKEM512,clean,keygen,0,55476
stack,esp32,MLKEM512,clean,encaps,0,52868
stack,esp32,MLKEM512,clean,decaps,0,52148
stack,esp32,AES128GCM,hw_aes_sw_ghash,encrypt,16,14068
stack,esp32,AES128GCM,hw_aes_sw_ghash,decrypt,16,14020
stack,esp32,AES128GCM,hw_aes_sw_ghash,encrypt,32,14020
stack,esp32,AES128GCM,hw_aes_sw_ghash,decrypt,32,14020
stack,esp32,AES128GCM,hw_aes_sw_ghash,encrypt,64,14020
stack,esp32,AES128GCM,hw_aes_sw_ghash,decrypt,64,14020
stack,esp32,AES128GCM,hw_aes_sw_ghash,encrypt,128,14020
stack,esp32,AES128GCM,hw_aes_sw_ghash,decrypt,128,14020
stack,esp32,AES128GCM,hw_aes_sw_ghash,encrypt,256,14020
stack,esp32,AES128GCM,hw_aes_sw_ghash,decrypt,256,14020
stack,esp32,AES128GCM,hw_aes_sw_ghash,encrypt,1024,14020
stack,esp32,AES128GCM,hw_aes_sw_ghash,decrypt,1024,14020
stack,esp32,AES128GCM,hw_aes_sw_ghash,encrypt,4096,14020
stack,esp32,AES128GCM,hw_aes_sw_ghash,decrypt,4096,14020
stack,esp32c3,AES128GCM,sw,encrypt,16,14244
stack,esp32c3,AES128GCM,sw,decrypt,16,14244
stack,esp32c3,AES128GCM,sw,encrypt,32,14244
stack,esp32c3,AES128GCM,sw,decrypt,32,14244
stack,esp32c3,AES128GCM,sw,encrypt,64,14244
stack,esp32c3,AES128GCM,sw,decrypt,64,14244
stack,esp32c3,AES128GCM,sw,encrypt,128,14244
stack,esp32c3,AES128GCM,sw,decrypt,128,14244
stack,esp32c3,AES128GCM,sw,encrypt,256,14180
stack,esp32c3,AES128GCM,sw,decrypt,256,14180
stack,esp32c3,AES128GCM,sw,encrypt,1024,14180
stack,esp32c3,AES128GCM,sw,decrypt,1024,14180
stack,esp32c3,AES128GCM,sw,encrypt,4096,14180
stack,esp32c3,AES128GCM,sw,decrypt,4096,14180
stack,esp32c3,AsconAEAD128,opt32,encrypt,16,14644
stack,esp32c3,AsconAEAD128,opt32,decrypt,16,14644
stack,esp32c3,AsconAEAD128,opt32,encrypt,32,14644
stack,esp32c3,AsconAEAD128,opt32,decrypt,32,14644
stack,esp32c3,AsconAEAD128,opt32,encrypt,64,14644
stack,esp32c3,AsconAEAD128,opt32,decrypt,64,14644
stack,esp32c3,AsconAEAD128,opt32,encrypt,128,14628
stack,esp32c3,AsconAEAD128,opt32,decrypt,128,14628
stack,esp32c3,AsconAEAD128,opt32,encrypt,256,14628
stack,esp32c3,AsconAEAD128,opt32,decrypt,256,14628
stack,esp32c3,AsconAEAD128,opt32,encrypt,1024,14580
stack,esp32c3,AsconAEAD128,opt32,decrypt,1024,14580
stack,esp32c3,AsconAEAD128,opt32,encrypt,4096,14516
stack,esp32c3,AsconAEAD128,opt32,decrypt,4096,14516
stack,esp32c3,Ascon128a,opt32,encrypt,16,14644
stack,esp32c3,Ascon128a,opt32,decrypt,16,14644
stack,esp32c3,Ascon128a,opt32,encrypt,32,14564
stack,esp32c3,Ascon128a,opt32,decrypt,32,14564
stack,esp32c3,Ascon128a,opt32,encrypt,64,14564
stack,esp32c3,Ascon128a,opt32,decrypt,64,14564
stack,esp32c3,Ascon128a,opt32,encrypt,128,14564
stack,esp32c3,Ascon128a,opt32,decrypt,128,14564
stack,esp32c3,Ascon128a,opt32,encrypt,256,14564
stack,esp32c3,Ascon128a,opt32,decrypt,256,14564
stack,esp32c3,Ascon128a,opt32,encrypt,1024,14516
stack,esp32c3,Ascon128a,opt32,decrypt,1024,14516
stack,esp32c3,Ascon128a,opt32,encrypt,4096,14516
stack,esp32c3,Ascon128a,opt32,decrypt,4096,14516
stack,esp32c3,Ascon128,opt32,encrypt,16,14564
stack,esp32c3,Ascon128,opt32,decrypt,16,14564
stack,esp32c3,Ascon128,opt32,encrypt,32,14564
stack,esp32c3,Ascon128,opt32,decrypt,32,14564
stack,esp32c3,Ascon128,opt32,encrypt,64,14564
stack,esp32c3,Ascon128,opt32,decrypt,64,14564
stack,esp32c3,Ascon128,opt32,encrypt,128,14564
stack,esp32c3,Ascon128,opt32,decrypt,128,14564
stack,esp32c3,Ascon128,opt32,encrypt,256,14564
stack,esp32c3,Ascon128,opt32,decrypt,256,14564
stack,esp32c3,Ascon128,opt32,encrypt,1024,14564
stack,esp32c3,Ascon128,opt32,decrypt,1024,14564
stack,esp32c3,Ascon128,opt32,encrypt,4096,14564
stack,esp32c3,Ascon128,opt32,decrypt,4096,14564
stack,esp32c3,MLKEM512,clean,keygen,0,55716
stack,esp32c3,MLKEM512,clean,encaps,0,53060
stack,esp32c3,MLKEM512,clean,decaps,0,52340
stack,esp32c3,AES128GCM,hw_aes_sw_ghash,encrypt,16,14244
stack,esp32c3,AES128GCM,hw_aes_sw_ghash,decrypt,16,14244
stack,esp32c3,AES128GCM,hw_aes_sw_ghash,encrypt,32,14244
stack,esp32c3,AES128GCM,hw_aes_sw_ghash,decrypt,32,14244
stack,esp32c3,AES128GCM,hw_aes_sw_ghash,encrypt,64,14244
stack,esp32c3,AES128GCM,hw_aes_sw_ghash,decrypt,64,14244
stack,esp32c3,AES128GCM,hw_aes_sw_ghash,encrypt,128,14244
stack,esp32c3,AES128GCM,hw_aes_sw_ghash,decrypt,128,14244
stack,esp32c3,AES128GCM,hw_aes_sw_ghash,encrypt,256,14244
stack,esp32c3,AES128GCM,hw_aes_sw_ghash,decrypt,256,14244
stack,esp32c3,AES128GCM,hw_aes_sw_ghash,encrypt,1024,14244
stack,esp32c3,AES128GCM,hw_aes_sw_ghash,decrypt,1024,14244
stack,esp32c3,AES128GCM,hw_aes_sw_ghash,encrypt,4096,14244
stack,esp32c3,AES128GCM,hw_aes_sw_ghash,decrypt,4096,14244
